ncores;expl_var;k_max;T;m;MC;A;I
2;0.95;7;256;512;10.53;;363.26
4;0.95;7;256;512;9.36;;255.39
1;0.6;10;256;512;23.66;;366.03
2;0.6;10;256;512;13.5;;194.69
4;0.6;10;256;512;10.99;;116.11
1;0.8;10;256;512;23.83;;543.53
2;0.8;10;256;512;13.52;;299.25
4;0.8;10;256;512;10.96;;179.03
1;0.95;10;256;512;23.93;;1028.6
2;0.95;10;256;512;13.64;;594.49
4;0.95;10;256;512;11.29;;384.51
1;0.6;3;512;512;34.69;;266.04
2;0.6;3;512;512;27.03;;246.86
4;0.6;3;512;512;27.78;;243.64
1;0.8;3;512;512;34.59;;408.44
2;0.8;3;512;512;27.52;;442.1
4;0.8;3;512;512;28.3;;371.34
1;0.95;3;512;512;35.16;;941.94
2;0.95;3;512;512;27.57;;791.18
4;0.95;3;512;512;27.84;;773.42
1;0.6;7;512;512;80.91;;962.55
2;0.6;7;512;512;58.42;;659.32
4;0.6;7;512;512;54.64;;577.06
1;0.8;7;512;512;78.58;;1239.46
2;0.8;7;512;512;55.61;;862.25
4;0.8;7;512;512;53.31;;763.83
1;0.95;7;512;512;80.08;;3116.42
2;0.95;7;512;512;55.56;;2246.37
4;0.95;7;512;512;53.89;;2543.5
1;0.6;10;512;512;109.54;;1303.45
2;0.6;10;512;512;74.34;;799.64
4;0.6;10;512;512;71.29;;736.65
1;0.8;10;512;512;108.02;;1756.97
2;0.8;10;512;512;77.72;;1111.03
4;0.8;10;512;512;79.98;;975.78
1;0.95;10;512;512;115.1;;5379.1
2;0.95;10;512;512;78.44;;3881.48
4;0.95;10;512;512;76.8;;3535.55
